TỦ ĐIỆN ,DMX-LT-BR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMX ,"ĐỊA CHỈ
(Group)  ",TÊN LỘ ,,SCENE SETTING,,,,,,,,,,,,,,,,,,,,,,,,SCENE OVERIDE,,,,,,,,,,,,,,,
,,,,DAY TIME,,,,,,,,,,,,Night Time,,,,,,,Late Time,,,,,EVENT,BRIGHT,DIM,MASTER ON/OFF,OPEN 1,CLOSE 1,OPEN 2,CLOSE 2,OPEN 2,CLOSE 2,OPEN 3,CLOSE 3,OPEN 3,CLOSE 3,OPEN 4,CLOSE 4
,,,,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,0:00,1:00,2:00,3:00,4:00,5:00,,,,,,,,,,,,,,,,
RCU 21IN8RLK,Group 1,OPEN 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPEN 1,,,,,,,,,,,
,Group 2,CLOSE 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLOSE 1,,,,,,,,,,
,Group 3,OPEN 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPEN 2,,,,,,,,,
,Group 4,CLOSE 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLOSE 2,,,,,,,,
,Group 5,SPARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Group 6,SPARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Group 7,SPARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Group 8,SPARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR 2102 1,Group 9,BR1-3.1,,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,100%,90%,70%,ON/OFF,,,,,,,,,,,,
,Group 10,BR1-3.2,,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,100%,90%,70%,ON/OFF,,,,,,,,,,,,
SR 2102 2,Group 11,BR1-3.3,,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,100%,90%,70%,ON/OFF,,,,,,,,,,,,
,Group 12,BR1-3.4,,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,100%,90%,70%,ON/OFF,,,,,,,,,,,,
SR 2102 3,Group 13,BR1-3.5,,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,100%,90%,70%,ON/OFF,,,,,,,,,,,,
,Group 14,SPARE,,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,100%,90%,70%,ON/OFF,,,,,,,,,,,,
SR 2102 4,Group 15,SPARE,,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,100%,90%,70%,ON/OFF,,,,,,,,,,,,
,Group 16,SPARE,,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,100%,90%,70%,ON/OFF,,,,,,,,,,,,
AC TRIAC,Group 17,SPARE,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100%,90%,70%,ON/OFF,,,,,,,,,,,,
,Group 18,SPARE,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100%,90%,70%,ON/OFF,,,,,,,,,,,,
,Group 19,SPARE,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100%,90%,70%,ON/OFF,,,,,,,,,,,,
,Group 20,SPARE,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100%,90%,70%,ON/OFF,,,,,,,,,,,,
DMX 1,Group 21,FH.C2.1.1 1~3,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100%,90%,70%,ON/OFF,,,,,,,,,,,,
,Group 22,FH.C2.1.2 1~3,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100%,90%,70%,ON/OFF,,,,,,,,,,,,
,Group 23,SPARE,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100%,90%,70%,ON/OFF,,,,,,,,,,,,
,Group 24,SPARE,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100%,90%,70%,ON/OFF,,,,,,,,,,,,
DMX 2,Group 25,FH.C2.2.1 1~4,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100%,90%,70%,ON/OFF,,,,,,,,,,,,
,Group 26,FH.C2.2.2 1~4,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100%,90%,70%,ON/OFF,,,,,,,,,,,,
,Group 27,SPARE,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100%,90%,70%,ON/OFF,,,,,,,,,,,,
,Group 28,SPARE,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100%,90%,70%,ON/OFF,,,,,,,,,,,,
DMX 3,Group 29,BR1.05 1~6,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100%,90%,70%,ON/OFF,,,,,,,,,,,,
,Group 30,BR1.05 7~12,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100%,90%,70%,ON/OFF,,,,,,,,,,,,
,Group 31,SPARE,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100%,90%,70%,ON/OFF,,,,,,,,,,,,
,Group 32,SPARE,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100%,90%,70%,ON/OFF,,,,,,,,,,,,
DMX 4,Group 33,FH-C2-3,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100%,90%,70%,ON/OFF,,,,,,,,,,,,
,Group 34,FH-C2-4,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100%,90%,70%,ON/OFF,,,,,,,,,,,,
,Group 35,FH-C2-6.1,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100%,90%,70%,ON/OFF,,,,,,,,,,,,
,Group 36,FH-C2-6.2,,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,100%,90%,70%,ON/OFF,,,,,,,,,,,,
DMX 5,Group 37,FH-C2-6.3,,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,100%,90%,70%,ON/OFF,,,,,,,,,,,,
,Group 38,FH-C2-7,,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,100%,90%,70%,ON/OFF,,,,,,,,,,,,
