TỦ ĐIỆN ,DMX-LT-EX6; EX1; EX1.1; EX2,,,,,,,,
,,,,,,,,,
DMX ,"ĐỊA CHỈ
(Group)  ",TÊN LỘ ,KHU VỰC,SCENE SETTING,,,,,
,,,,DAY TIME,EVERNING,NIGHT,RELAX SCENE,LATE NIGHT,OFF
,,,,5:30 - 17:00,17:00-18:30,18:30 - 23:00,18:30 - 23:00,23:00 - 5:30,23:00 - 5:30
DMX-LT-EX6,,,,,,,,,
RCU,Group 1,,,100,100,100,100,100,100
,Group 2,,,100,100,100,100,100,100
,Group 3,,,100,100,100,100,100,100
,Group 4,,,100,100,100,100,100,100
,Group 5,,,100,100,100,100,100,100
,Group 6,,,100,100,100,100,100,100
,Group 7,,,100,100,100,100,100,100
,Group 8,,,100,100,100,100,100,100
DMX 1,Group 9,C4.1,VLC2,100,100,100,100,100,100
,Group 10,C4.2,VLC2,100,100,100,100,100,100
,Group 11,C4.3,VLC2,100,100,100,100,100,100
,Group 12,C5,VLC2,100,100,100,100,100,100
DMX 2,Group 13,C6,VLC2,100,100,100,100,100,100
,Group 14,C15,VLC2,100,100,100,100,100,100
,Group 15,C16,VLC2,90,90,90,90,90,90
,Group 16,C11.1,VLC2,100,100,100,100,100,100
DMX 3,Group 17,C11.2,VLC2,100,100,100,100,100,100
,Group 18,C7,VLC2,100,100,100,100,100,100
,Group 19,C8.1,VLC2,100,100,100,100,100,100
,Group 20,C9.1,VLC2,100,100,100,100,100,100
DMX 4,Group 21,C10.1,VLC2,100,100,100,100,100,100
,Group 22,C10.2,VLC2,100,100,100,100,100,100
,Group 23,C10.3,VLC2,100,100,100,100,100,100
,Group 24,C10.4,VLC2,100,100,100,100,100,100
DMX 5,Group 25,C10.5,VLC2,100,100,100,100,100,100
,Group 26,C26.3,VLC5,100,100,100,100,100,100
,Group 27,C27.2,VLC5,100,100,100,100,100,100
,Group 28,SPARE,VLC5,100,100,100,100,100,100
DMX 6,Group 29,C27.3,VLC5,100,100,100,100,100,100
,Group 30,C27.4,VLC5,100,100,100,100,100,100
,Group 31,C28,VLC5,100,100,100,100,100,100
,Group 32,C26.7,VLC5,100,100,100,100,100,100
DMX 7,Group 33,SPARE,VLC5,100,100,100,100,100,100
,Group 34,SPARE,VLC5,100,100,100,100,100,100
,Group 35,SPARE,VLC5,100,100,100,100,100,100
,Group 36,SPARE,VLC5,100,100,100,100,100,100
DMX 8,Group 37,SPARE,VLC5,100,100,100,100,100,100
,Group 38,SPARE,VLC5,100,100,100,100,100,100
,Group 39,SPARE,VLC5,100,100,100,100,100,100
,Group 40,SPARE,VLC5,100,100,100,100,100,100
DMX 9,Group 41,SPARE,VLC5,100,100,100,100,100,100
,Group 42,SPARE,VLC5,100,100,100,100,100,100
,Group 43,SPARE,VLC5,100,100,100,100,100,100
,Group 44,SPARE,VLC5,100,100,100,100,100,100
DMX-LT-EX1,,,,,,,,,
DMX 1,Group 45,C2.1,VLC1,100,100,100,100,100,100
,Group 46,C2.2,VLC1,100,100,100,100,100,100
,Group 47,C3.1,VLC1,100,100,100,100,100,100
,Group 48,C3.2,VLC1,100,100,100,100,100,100
DMX 2,Group 49,C3.3,VLC1,100,100,100,100,100,100
,Group 50,C3.4,VLC1,100,100,100,100,100,100
,Group 51,C6,VLC1,100,100,100,100,100,100
,Group 52,C7,VLC1,100,100,100,100,100,100
DMX 3,Group 53,C13,VLC1,100,100,100,100,100,100
,Group 54,C20,VLC1,100,100,100,100,100,100
,Group 55,C14.2,VLC1,100,100,100,100,100,100
,Group 56,SPARE,VLC1,100,100,100,100,100,100
DMX 4,Group 57,SPARE,VLC1,100,100,100,100,100,100
,Group 58,C11.1; C11.2; C11.3; C11.4,VLC1,100,100,100,100,100,100
,Group 59,SPARE,VLC1,100,100,100,100,100,100
,Group 60,SPARE,VLC1,100,100,100,100,100,100
DMX 5,Group 61,SPARE,VLC1,100,100,100,100,100,100
,Group 62,C1.1; C1.2,VLC1,100,100,100,100,100,100
,Group 63,SPARE,VLC1,100,100,100,100,100,100
,Group 64,SPARE,VLC1,100,100,100,100,100,100
DMX 6,Group 65,SPARE,VLC1,100,100,100,100,100,100
,Group 66,C5.1; C5.2; C5.3,VLC1,100,100,100,100,100,100
,Group 67,SPARE,VLC1,100,100,100,100,100,100
,Group 68,SPARE,VLC1,100,100,100,100,100,100
DMX 7,Group 69,C4,VLC1,100,100,100,100,100,100
,Group 70,C9,VLC1,100,100,100,100,100,100
,Group 71,C14.1,VLC1,100,100,100,100,100,100
,Group 72,SPARE,VLC1,100,100,100,100,100,100
DMX 8,Group 73,C1.1,VLC2,100,100,100,100,100,100
,Group 74,C1.2,VLC2,100,100,100,100,100,100
,Group 75,C1.3,VLC2,100,100,100,100,100,100
,Group 76,C2.1,VLC2,100,100,100,100,100,100
DMX 9,Group 77,C2.2,VLC2,100,100,100,100,100,100
,Group 78,C2.3,VLC2,100,100,100,100,100,100
,Group 79,C2.4,VLC2,100,100,100,100,100,100
,Group 80,C2.5,VLC2,100,100,100,100,100,100
DMX 10,Group 81,C2.6,VLC2,100,100,100,100,100,100
,Group 82,C26.1,VLC5,100,100,100,100,100,100
,Group 83,C26.2,VLC5,100,100,100,100,100,100
,Group 84,C27.1,VLC5,100,100,100,100,100,100
DMX 11,Group 85,C3.1,VLC2,100,100,100,100,100,100
,Group 86,C3.2,VLC2,100,100,100,100,100,100
,Group 87,C3.3,VLC2,100,100,100,100,100,100
,Group 88,C3.4,VLC2,100,100,100,100,100,100
DMX 12,Group 89,SPARE,VLC2,100,100,100,100,100,100
,Group 90,SPARE,VLC2,100,100,100,100,100,100
,Group 91,SPARE,VLC2,100,100,100,100,100,100
